date,season,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,result,home_elo_before,away_elo_before,elo_diff,home_elo_trend_5,elo_change_home,elo_change_away,home_points_last5,away_points_last5,form_diff_points_last5,home_goals_scored_rm5,away_goals_conceded_rm5,home_form_ratio,away_form_ratio,home_gd_roll5,away_gd_roll5,avg_goal_diff_last5,home_cleansheets_last5,away_cleansheets_last5,home_btts_last5,p_home_market,p_draw_market,p_away_market,overround_wdl,p_home_fair,p_draw_fair,p_away_fair,round,max_round,is_first_half,season_half,days_since_season_start,rest_days_home,matches_last14_home,rest_days_away,matches_last14_away
2024-09-14,2024/2025,Fulham,West Ham,1,1,2.42,3.48,2.92,D,1499.3,1490.3,8.4,-0.2433333333333334,-0.28,0.28,,,1.0,1.0,1.6666666666666667,1.0,1.0,0.0,-0.3333333333333333,0.3333333333333333,0.0,1.0,2.0,0.4132231404958678,0.28735632183908044,0.3424657534246575,1.0430452157596057,0.39616992077849167,0.27549747364481314,0.32833260557669514,9,109,True,H1,29,21.0,0.0,21.0,0.0
2024-09-14,2024/2025,Liverpool,Nott'm Forest,0,1,1.22,7.03,12.4,A,1550.2,1509.2,16.4,16.733333333333334,-12.29,12.29,,,4.0,2.3333333333333335,0.6666666666666666,1.0,1.0,2.3333333333333335,0.3333333333333333,2.0,3.0,1.0,0.0,0.819672131147541,0.14224751066856328,0.08064516129032258,1.0425648031064267,0.7862073692735889,0.13643997020110646,0.07735266052530472,9,109,True,H1,29,20.0,0.0,21.0,0.0
2024-09-14,2024/2025,Man City,Brentford,2,1,1.17,8.2,14.79,H,1549.1,1510.5,58.2,16.36,9.78,-9.78,,,3.0,3.0,1.3333333333333333,1.0,1.0,2.3333333333333335,0.3333333333333333,2.0,1.0,0.0,2.0,0.8547008547008548,0.12195121951219513,0.0676132521974307,1.0442653264104806,0.8184709700539154,0.11678183353208306,0.06474719641400142,9,109,True,H1,29,21.0,0.0,20.0,0.0
2024-09-14,2024/2025,Aston Villa,Everton,3,2,1.51,4.48,6.34,H,1505.6,1452.8,71.5,1.8566666666666671,9.34,-9.34,,,6.0,1.3333333333333333,3.3333333333333335,1.0,,0.0,-2.6666666666666665,2.6666666666666665,0.0,0.0,2.0,0.6622516556291391,0.2232142857142857,0.15772870662460567,1.0431946479680305,0.6348303808106139,0.21397184710357742,0.15119777208580865,9,109,True,H1,29,21.0,0.0,21.0,0.0
2024-09-14,2024/2025,Bournemouth,Chelsea,0,1,3.33,3.96,2.05,A,1510.2,1501.8,-14.2,3.3866666666666667,-11.26,11.26,,,1.0,1.6666666666666667,1.6666666666666667,1.0,1.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.0,0.0,3.0,0.3003003003003003,0.25252525252525254,0.48780487804878053,1.0406304308743333,0.28857535911955723,0.24266564289599132,0.46875899798445153,9,109,True,H1,29,20.0,0.0,20.0,0.0
2024-09-15,2024/2025,Tottenham,Arsenal,0,1,2.99,3.59,2.33,A,1506.9,1532.7,-46.1,2.313333333333333,-10.19,10.19,,,-3.0,2.0,0.3333333333333333,1.0,1.0,1.0,1.3333333333333333,-0.3333333333333332,1.0,2.0,2.0,0.33444816053511706,0.2785515320334262,0.4291845493562232,1.0421842419247664,0.3209107824519,0.26727666839308667,0.4118125491550133,10,109,True,H1,30,22.0,0.0,22.0,0.0
2024-09-15,2024/2025,Wolves,Newcastle,1,2,3.36,3.69,2.11,A,1465.7,1521.9,-74.7,-11.43,-9.24,9.24,,,-6.0,1.0,0.6666666666666666,1.0,1.0,-2.0,0.6666666666666666,-2.6666666666666665,0.0,1.0,2.0,0.2976190476190476,0.2710027100271003,0.47393364928909953,1.0425554069352474,0.2854707247588354,0.25994082254463063,0.4545884526965341,10,109,True,H1,30,21.0,0.0,21.0,0.0
2024-09-21,2024/2025,West Ham,Chelsea,0,3,3.49,3.89,2.01,A,1490.6,1513.1,-58.4,-2.3425,-18.01,18.01,,,-3.0,1.25,1.25,1.0,1.0,-0.25,0.75,-1.0,1.0,1.0,3.0,0.28653295128939826,0.2570694087403599,0.49751243781094534,1.0411147978407036,0.27521744180725727,0.24691744779108687,0.47786511040165575,11,109,True,H1,36,21.0,0.0,7.0,1.0
2024-09-21,2024/2025,Aston Villa,Wolves,3,1,1.59,4.39,5.35,H,1514.9,1456.5,85.9,3.727500000000001,13.75,-13.75,,,8.0,1.75,2.75,1.0,1.0,0.25,-1.75,2.0,0.0,0.0,3.0,0.6289308176100629,0.22779043280182235,0.1869158878504673,1.0436371382623526,0.6026336113883678,0.21826593214293963,0.17910045646869252,11,109,True,H1,36,7.0,1.0,21.0,0.0
2024-09-21,2024/2025,Fulham,Newcastle,3,1,2.86,3.51,2.45,H,1499.0,1531.1,3.9,-0.2525000000000001,18.02,-18.02,,,-5.0,1.0,0.75,1.0,1.0,0.0,0.75,-0.75,0.0,1.0,3.0,0.3496503496503497,0.2849002849002849,0.4081632653061224,1.042713899856757,0.3353272165052973,0.2732295838191311,0.39144319967557145,11,109,True,H1,36,7.0,1.0,6.0,1.0
2024-09-21,2024/2025,Leicester,Everton,1,1,2.52,3.44,2.82,D,1477.7,1443.4,32.1,-5.575,-1.08,1.08,,,2.0,1.25,3.25,1.0,,-0.5,-2.25,1.75,0.0,0.0,4.0,0.3968253968253968,0.29069767441860467,0.3546099290780142,1.0421330003220157,0.38078191238813,0.2789448893075836,0.3402731983042864,11,109,True,H1,36,21.0,0.0,7.0,1.0
